Country,Transaction,Measure,Year,PPP
Switzerland,Purchasing Power Parities for GDP,National currency per US dollar,2017,1.187726
Switzerland,Purchasing Power Parities for GDP,National currency per US dollar,2018,1.178866
Switzerland,Purchasing Power Parities for GDP,National currency per US dollar,2019,1.133809
Switzerland,Purchasing Power Parities for GDP,National currency per US dollar,2020,1.104751
Switzerland,Purchasing Power Parities for GDP,National currency per US dollar,2021,1.046474
Switzerland,Purchasing Power Parities for GDP,National currency per US dollar,2022,0.981279
Turkey,Purchasing Power Parities for GDP,National currency per US dollar,2015,1.162452
Turkey,Purchasing Power Parities for GDP,National currency per US dollar,2016,1.241052
Turkey,Purchasing Power Parities for GDP,National currency per US dollar,2017,1.38398
Turkey,Purchasing Power Parities for GDP,National currency per US dollar,2018,1.63261
Turkey,Purchasing Power Parities for GDP,National currency per US dollar,2019,1.837125
Turkey,Purchasing Power Parities for GDP,National currency per US dollar,2020,2.111056
Turkey,Purchasing Power Parities for GDP,National currency per US dollar,2021,2.725605
Turkey,Purchasing Power Parities for GDP,National currency per US dollar,2022,4.605662
United Kingdom,Purchasing Power Parities for GDP,National currency per US dollar,2015,0.692551
United Kingdom,Purchasing Power Parities for GDP,National currency per US dollar,2016,0.688603
United Kingdom,Purchasing Power Parities for GDP,National currency per US dollar,2017,0.684601
United Kingdom,Purchasing Power Parities for GDP,National currency per US dollar,2018,0.687714
United Kingdom,Purchasing Power Parities for GDP,National currency per US dollar,2019,0.669665
United Kingdom,Purchasing Power Parities for GDP,National currency per US dollar,2020,0.653446
United Kingdom,Purchasing Power Parities for GDP,National currency per US dollar,2021,0.644896
United Kingdom,Purchasing Power Parities for GDP,National currency per US dollar,2022,0.651256
United States,Purchasing Power Parities for GDP,National currency per US dollar,2015,1
United States,Purchasing Power Parities for GDP,National currency per US dollar,2016,1
United States,Purchasing Power Parities for GDP,National currency per US dollar,2017,1
United States,Purchasing Power Parities for GDP,National currency per US dollar,2018,1
United States,Purchasing Power Parities for GDP,National currency per US dollar,2019,1
United States,Purchasing Power Parities for GDP,National currency per US dollar,2020,1
United States,Purchasing Power Parities for GDP,National currency per US dollar,2021,1
United States,Purchasing Power Parities for GDP,National currency per US dollar,2022,1
